AGEP,SEX,RAC1P,HISP,SCHL,PINCP,MAR,ST,MIL,DIS,CIT,ENG,NP,JWTRNS,ESR,HINS1,TEN,PWGTP,state
22,2,8,3,21,7000,5,6,4,2,1,1,12,0,2,1,3,269,06
1,1,9,2,0,-19999,5,6,0,2,1,0,3,0,0,1,3,374,06
11,1,1,1,7,-19999,5,6,0,2,1,1,5,0,0,2,2,176,06
17,2,1,19,15,2000,5,6,4,2,1,0,4,1,1,1,1,124,06
33,2,1,1,21,62000,5,6,4,2,1,0,3,1,1,1,1,174,06
51,2,6,1,16,26000,1,6,4,2,4,2,4,1,1,2,1,92,06
16,1,9,2,13,0,5,6,0,2,1,1,8,0,6,2,3,214,06
33,2,1,1,21,0,1,6,4,2,4,1,5,0,6,1,1,256,06
34,2,9,2,21,60000,5,6,4,2,1,0,1,1,1,1,1,170,06
79,1,9,2,1,10800,1,6,4,1,4,4,6,0,6,2,3,48,06
75,2,1,1,20,7400,1,6,4,1,5,0,1,0,6,1,0,156,06
8,2,9,8,5,-19999,5,6,0,2,1,0,5,0,0,2,1,414,06
25,1,6,1,21,32000,5,6,4,2,1,1,4,1,1,2,2,216,06
75,2,1,1,21,54000,3,6,4,1,1,0,1,0,6,1,3,145,06
15,1,7,1,12,13000,5,6,0,2,1,0,5,0,0,1,1,240,06
56,1,6,1,19,0,5,6,4,1,4,2,4,0,6,2,2,79,06
61,1,1,1,16,50000,1,6,4,2,4,2,3,1,1,2,1,192,06
5,2,1,1,2,-19999,5,6,0,2,1,0,4,0,0,1,3,117,06
52,2,1,1,19,36000,1,6,4,2,1,0,3,11,1,1,1,52,06
12,2,1,1,8,-19999,5,6,0,2,1,0,3,0,0,1,3,104,06
37,2,6,1,21,130000,3,6,4,2,5,2,1,11,1,1,3,87,06
39,1,9,2,15,70000,1,6,4,2,5,1,5,1,1,2,3,192,06
25,2,1,1,19,6000,1,6,4,2,1,0,5,1,1,1,1,75,06
59,2,1,1,19,160000,1,6,4,2,1,0,6,1,1,1,1,76,06
10,1,6,1,7,-19999,5,6,0,2,1,0,3,0,0,1,1,70,06
37,1,2,1,21,50000,1,6,4,2,1,0,5,11,1,1,3,549,06
27,2,1,1,19,20000,5,6,4,2,1,0,5,1,1,1,3,99,06
0,1,9,7,0,-19999,5,6,0,2,1,0,5,0,0,2,1,373,06
14,2,1,1,9,-19999,5,6,0,2,1,0,3,0,0,1,1,97,06
0,2,9,23,0,-19999,5,6,0,2,1,0,3,0,0,1,1,124,06
48,1,6,1,21,0,1,6,4,2,4,2,6,0,6,1,1,315,06
3,1,1,1,1,-19999,5,6,0,2,1,0,3,0,0,1,3,83,06
34,1,2,1,19,17000,5,6,4,2,1,0,3,1,1,2,3,533,06
20,2,3,2,19,0,5,6,4,2,5,1,3,0,3,2,3,345,06
4,1,1,1,1,-19999,5,6,0,2,1,0,5,0,0,2,3,189,06
49,2,6,1,16,23700,5,6,4,2,4,1,4,1,1,2,3,116,06
17,1,6,1,13,0,5,6,4,2,3,1,4,0,6,2,3,229,06
75,1,1,1,19,103300,1,6,4,2,1,0,3,0,6,1,1,110,06
48,1,1,1,16,35000,1,6,4,2,1,0,4,1,1,2,1,66,06
72,1,9,2,9,7300,2,6,4,2,4,3,7,0,6,2,1,248,06
29,1,9,2,15,26000,5,6,4,2,5,2,3,1,1,1,3,294,06
51,2,1,1,21,0,5,6,4,2,1,0,1,0,6,2,2,77,06
18,1,9,1,16,3500,5,6,4,2,3,0,4,1,1,1,1,355,06
83,1,1,1,18,50200,1,6,4,2,4,0,2,0,6,2,2,58,06
16,1,1,1,11,2400,5,6,0,2,1,0,2,0,6,2,2,204,06
36,1,8,2,21,45000,1,6,4,2,1,1,4,1,1,1,3,200,06
19,2,8,11,16,8000,5,6,4,2,5,2,3,0,2,2,3,466,06
62,1,1,1,21,2000,1,6,4,2,1,0,2,0,3,2,2,167,06
81,2,1,1,19,0,1,6,4,2,4,1,2,0,6,2,2,90,06
8,1,8,2,4,-19999,5,6,0,2,1,1,6,0,0,2,3,205,06
11,2,8,2,7,-19999,5,6,0,2,1,1,5,0,0,2,3,142,06
68,2,1,1,21,92000,1,6,4,2,1,0,2,0,6,2,1,55,06
70,2,1,1,22,10000,1,6,4,2,1,0,3,0,6,2,1,434,06
38,2,9,2,16,30000,5,6,4,2,4,1,3,1,1,1,2,58,06
8,1,1,1,4,-19999,5,6,0,2,1,0,4,0,0,1,3,223,06
52,1,6,1,22,85120,1,6,4,2,4,1,5,1,1,1,1,277,06
12,2,8,2,9,-19999,5,6,0,2,1,1,4,0,0,2,3,180,06
62,1,1,1,19,1600,1,6,4,1,1,0,2,0,6,2,3,320,06
86,2,1,1,21,37000,1,6,4,1,1,0,2,0,6,1,2,83,06
50,2,8,2,17,0,1,6,4,2,1,2,5,0,6,1,2,65,06
5,2,6,1,1,-19999,5,6,0,2,1,0,3,0,0,1,1,15,06
49,2,7,1,19,14000,1,6,4,1,5,1,4,0,6,1,3,146,06
68,1,1,1,21,34800,5,6,4,2,1,0,1,0,6,2,2,97,06
23,2,6,1,21,3600,5,6,4,2,1,1,4,1,1,2,3,138,06
23,2,8,2,16,5000,5,6,4,2,1,0,4,0,3,1,3,78,06
26,1,9,2,12,15600,5,6,4,2,5,4,5,1,1,2,3,102,06
